[Q2->Q3] ep0 loss0.876 codeMSE 0.101 recRelL2 0.692 top1 0.467 | HYBRID top1 0.711
[Q2->Q3] ep1 loss0.495 codeMSE 0.076 recRelL2 0.598 top1 0.590 | HYBRID top1 0.711
[Q2->Q3] ep2 loss0.400 codeMSE 0.067 recRelL2 0.552 top1 0.630 | HYBRID top1 0.711
[Q2->Q3] ep3 loss0.354 codeMSE 0.061 recRelL2 0.535 top1 0.634 | HYBRID top1 0.711
[Q2->Q3] ep4 loss0.327 codeMSE 0.058 recRelL2 0.513 top1 0.660 | HYBRID top1 0.711
[Q2->Q3] ep5 loss0.310 codeMSE 0.056 recRelL2 0.496 top1 0.667 | HYBRID top1 0.711
[Q2->Q3] ep6 loss0.296 codeMSE 0.053 recRelL2 0.488 top1 0.669 | HYBRID top1 0.711
[Q2->Q3] ep7 loss0.285 codeMSE 0.052 recRelL2 0.481 top1 0.669 | HYBRID top1 0.711
[Q2->Q3] ep8 loss0.277 codeMSE 0.051 recRelL2 0.471 top1 0.674 | HYBRID top1 0.711
[Q2->Q3] ep9 loss0.270 codeMSE 0.050 recRelL2 0.467 top1 0.679 | HYBRID top1 0.711
[Q2->Q3] ep10 loss0.265 codeMSE 0.049 recRelL2 0.463 top1 0.680 | HYBRID top1 0.711
[Q2->Q3] ep11 loss0.260 codeMSE 0.049 recRelL2 0.459 top1 0.681 | HYBRID top1 0.711
[Q2->Q3] ep12 loss0.256 codeMSE 0.048 recRelL2 0.455 top1 0.681 | HYBRID top1 0.711
[Q2->Q3] ep13 loss0.252 codeMSE 0.048 recRelL2 0.454 top1 0.679 | HYBRID top1 0.711
[Q2->Q3] ep14 loss0.249 codeMSE 0.048 recRelL2 0.450 top1 0.682 | HYBRID top1 0.711
[Q2->Q3] ep15 loss0.246 codeMSE 0.046 recRelL2 0.446 top1 0.688 | HYBRID top1 0.711
[Q2->Q3] ep16 loss0.243 codeMSE 0.046 recRelL2 0.442 top1 0.684 | HYBRID top1 0.711
[Q2->Q3] ep17 loss0.241 codeMSE 0.046 recRelL2 0.442 top1 0.688 | HYBRID top1 0.711
[Q2->Q3] ep18 loss0.238 codeMSE 0.046 recRelL2 0.445 top1 0.687 | HYBRID top1 0.711
[Q2->Q3] ep19 loss0.237 codeMSE 0.045 recRelL2 0.441 top1 0.685 | HYBRID top1 0.711
[Q2->Q3] ep20 loss0.235 codeMSE 0.045 recRelL2 0.435 top1 0.693 | HYBRID top1 0.711
[Q2->Q3] ep21 loss0.233 codeMSE 0.045 recRelL2 0.435 top1 0.694 | HYBRID top1 0.711
[Q2->Q3] ep22 loss0.232 codeMSE 0.044 recRelL2 0.432 top1 0.688 | HYBRID top1 0.711
[Q2->Q3] ep23 loss0.230 codeMSE 0.045 recRelL2 0.433 top1 0.694 | HYBRID top1 0.711
[Q2->Q3] ep24 loss0.229 codeMSE 0.044 recRelL2 0.431 top1 0.690 | HYBRID top1 0.711
[Q2->Q3] ep25 loss0.228 codeMSE 0.044 recRelL2 0.433 top1 0.688 | HYBRID top1 0.711
[Q2->Q3] ep26 loss0.227 codeMSE 0.044 recRelL2 0.430 top1 0.691 | HYBRID top1 0.711
[Q2->Q3] ep27 loss0.225 codeMSE 0.044 recRelL2 0.428 top1 0.692 | HYBRID top1 0.711
[Q2->Q3] ep28 loss0.225 codeMSE 0.044 recRelL2 0.435 top1 0.683 | HYBRID top1 0.711
[Q2->Q3] ep29 loss0.224 codeMSE 0.044 recRelL2 0.428 top1 0.691 | HYBRID top1 0.711
TRANSITION DONE runs/phase3/T_Q2_Q3
