[Q4->Q5] ep0 loss1.230 codeMSE 0.230 recRelL2 0.753 top1 0.461 | HYBRID top1 0.715
[Q4->Q5] ep1 loss0.666 codeMSE 0.172 recRelL2 0.634 top1 0.601 | HYBRID top1 0.715
[Q4->Q5] ep2 loss0.539 codeMSE 0.157 recRelL2 0.592 top1 0.635 | HYBRID top1 0.715
[Q4->Q5] ep3 loss0.483 codeMSE 0.145 recRelL2 0.569 top1 0.643 | HYBRID top1 0.715
[Q4->Q5] ep4 loss0.440 codeMSE 0.138 recRelL2 0.540 top1 0.663 | HYBRID top1 0.715
[Q4->Q5] ep5 loss0.405 codeMSE 0.115 recRelL2 0.527 top1 0.672 | HYBRID top1 0.715
[Q4->Q5] ep6 loss0.375 codeMSE 0.112 recRelL2 0.515 top1 0.674 | HYBRID top1 0.715
[Q4->Q5] ep7 loss0.361 codeMSE 0.110 recRelL2 0.507 top1 0.682 | HYBRID top1 0.715
[Q4->Q5] ep8 loss0.348 codeMSE 0.110 recRelL2 0.493 top1 0.686 | HYBRID top1 0.715
[Q4->Q5] ep9 loss0.329 codeMSE 0.096 recRelL2 0.481 top1 0.689 | HYBRID top1 0.715
[Q4->Q5] ep10 loss0.316 codeMSE 0.096 recRelL2 0.474 top1 0.696 | HYBRID top1 0.715
[Q4->Q5] ep11 loss0.308 codeMSE 0.093 recRelL2 0.476 top1 0.688 | HYBRID top1 0.715
[Q4->Q5] ep12 loss0.300 codeMSE 0.091 recRelL2 0.471 top1 0.692 | HYBRID top1 0.715
[Q4->Q5] ep13 loss0.295 codeMSE 0.089 recRelL2 0.456 top1 0.698 | HYBRID top1 0.715
[Q4->Q5] ep14 loss0.288 codeMSE 0.090 recRelL2 0.463 top1 0.690 | HYBRID top1 0.715
[Q4->Q5] ep15 loss0.284 codeMSE 0.090 recRelL2 0.453 top1 0.699 | HYBRID top1 0.715
[Q4->Q5] ep16 loss0.272 codeMSE 0.079 recRelL2 0.451 top1 0.691 | HYBRID top1 0.715
[Q4->Q5] ep17 loss0.264 codeMSE 0.077 recRelL2 0.444 top1 0.700 | HYBRID top1 0.715
[Q4->Q5] ep18 loss0.258 codeMSE 0.075 recRelL2 0.442 top1 0.703 | HYBRID top1 0.715
[Q4->Q5] ep19 loss0.250 codeMSE 0.074 recRelL2 0.440 top1 0.699 | HYBRID top1 0.715
[Q4->Q5] ep20 loss0.248 codeMSE 0.074 recRelL2 0.439 top1 0.700 | HYBRID top1 0.715
[Q4->Q5] ep21 loss0.246 codeMSE 0.075 recRelL2 0.444 top1 0.699 | HYBRID top1 0.715
[Q4->Q5] ep22 loss0.242 codeMSE 0.071 recRelL2 0.428 top1 0.707 | HYBRID top1 0.715
[Q4->Q5] ep23 loss0.233 codeMSE 0.062 recRelL2 0.421 top1 0.708 | HYBRID top1 0.715
[Q4->Q5] ep24 loss0.224 codeMSE 0.064 recRelL2 0.429 top1 0.705 | HYBRID top1 0.715
[Q4->Q5] ep25 loss0.222 codeMSE 0.061 recRelL2 0.417 top1 0.707 | HYBRID top1 0.715
[Q4->Q5] ep26 loss0.220 codeMSE 0.060 recRelL2 0.413 top1 0.708 | HYBRID top1 0.715
[Q4->Q5] ep27 loss0.216 codeMSE 0.059 recRelL2 0.414 top1 0.707 | HYBRID top1 0.715
[Q4->Q5] ep28 loss0.213 codeMSE 0.059 recRelL2 0.410 top1 0.708 | HYBRID top1 0.715
[Q4->Q5] ep29 loss0.211 codeMSE 0.059 recRelL2 0.408 top1 0.709 | HYBRID top1 0.715
TRANSITION DONE runs/phase3/T_Q4_Q5
