[Q3->Q4] ep0 loss1.740 codeMSE 0.480 recRelL2 0.875 top1 0.125 | HYBRID top1 0.711
[Q3->Q4] ep1 loss1.041 codeMSE 0.370 recRelL2 0.750 top1 0.388 | HYBRID top1 0.711
[Q3->Q4] ep2 loss0.870 codeMSE 0.338 recRelL2 0.698 top1 0.446 | HYBRID top1 0.711
[Q3->Q4] ep3 loss0.801 codeMSE 0.325 recRelL2 0.677 top1 0.495 | HYBRID top1 0.711
[Q3->Q4] ep4 loss0.760 codeMSE 0.316 recRelL2 0.659 top1 0.526 | HYBRID top1 0.711
[Q3->Q4] ep5 loss0.731 codeMSE 0.310 recRelL2 0.641 top1 0.535 | HYBRID top1 0.711
[Q3->Q4] ep6 loss0.709 codeMSE 0.305 recRelL2 0.633 top1 0.532 | HYBRID top1 0.711
[Q3->Q4] ep7 loss0.692 codeMSE 0.298 recRelL2 0.623 top1 0.570 | HYBRID top1 0.711
[Q3->Q4] ep8 loss0.657 codeMSE 0.268 recRelL2 0.613 top1 0.567 | HYBRID top1 0.711
[Q3->Q4] ep9 loss0.628 codeMSE 0.263 recRelL2 0.608 top1 0.575 | HYBRID top1 0.711
[Q3->Q4] ep10 loss0.606 codeMSE 0.254 recRelL2 0.589 top1 0.597 | HYBRID top1 0.711
[Q3->Q4] ep11 loss0.589 codeMSE 0.249 recRelL2 0.588 top1 0.588 | HYBRID top1 0.711
[Q3->Q4] ep12 loss0.581 codeMSE 0.248 recRelL2 0.582 top1 0.608 | HYBRID top1 0.711
[Q3->Q4] ep13 loss0.574 codeMSE 0.246 recRelL2 0.582 top1 0.612 | HYBRID top1 0.711
[Q3->Q4] ep14 loss0.568 codeMSE 0.244 recRelL2 0.575 top1 0.619 | HYBRID top1 0.711
[Q3->Q4] ep15 loss0.563 codeMSE 0.240 recRelL2 0.575 top1 0.623 | HYBRID top1 0.711
[Q3->Q4] ep16 loss0.557 codeMSE 0.241 recRelL2 0.570 top1 0.621 | HYBRID top1 0.711
[Q3->Q4] ep17 loss0.551 codeMSE 0.233 recRelL2 0.562 top1 0.626 | HYBRID top1 0.711
[Q3->Q4] ep18 loss0.534 codeMSE 0.233 recRelL2 0.561 top1 0.634 | HYBRID top1 0.711
[Q3->Q4] ep19 loss0.530 codeMSE 0.229 recRelL2 0.560 top1 0.621 | HYBRID top1 0.711
[Q3->Q4] ep20 loss0.527 codeMSE 0.226 recRelL2 0.559 top1 0.638 | HYBRID top1 0.711
[Q3->Q4] ep21 loss0.523 codeMSE 0.226 recRelL2 0.558 top1 0.631 | HYBRID top1 0.711
[Q3->Q4] ep22 loss0.520 codeMSE 0.225 recRelL2 0.555 top1 0.625 | HYBRID top1 0.711
[Q3->Q4] ep23 loss0.517 codeMSE 0.228 recRelL2 0.553 top1 0.640 | HYBRID top1 0.711
[Q3->Q4] ep24 loss0.515 codeMSE 0.229 recRelL2 0.555 top1 0.632 | HYBRID top1 0.711
[Q3->Q4] ep25 loss0.512 codeMSE 0.226 recRelL2 0.553 top1 0.640 | HYBRID top1 0.711
[Q3->Q4] ep26 loss0.509 codeMSE 0.224 recRelL2 0.549 top1 0.642 | HYBRID top1 0.711
[Q3->Q4] ep27 loss0.498 codeMSE 0.208 recRelL2 0.543 top1 0.640 | HYBRID top1 0.711
[Q3->Q4] ep28 loss0.477 codeMSE 0.199 recRelL2 0.538 top1 0.645 | HYBRID top1 0.711
[Q3->Q4] ep29 loss0.471 codeMSE 0.201 recRelL2 0.538 top1 0.650 | HYBRID top1 0.711
TRANSITION DONE runs/phase3/T_Q3_Q4
